Campaign,Ad group,Keyword,Type,Keyword match type
CM - Nonbranded - Other Geos (MxConv),Football Camps,nfl camp,Negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),,kenwal day camp cost,Campaign negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,92ny camp yomi,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,tia new rochelle,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,arthur ashe kids day 2026,Negative,Exact
CM - pMax - Portland (MxConv),,how to get my kids off screens,Campaign negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),,luhi summer camp tuition,Campaign negative,Exact
CM - Nonbranded - Other Geos (MxConv),Basketball Camp,fastbreak kids,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Basketball Camp,cooper flagg camp 2026,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Basketball Camp,junior celtics camp,Negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,hoop dreams huntington ny,Negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,wildcats camp 2026,Negative,Exact
CM - pMax - Portland (MxConv),,what size is a normal soccer ball,Campaign negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,summer school near me,Negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,camps for 11 year old girls,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,adventure camp white plains,Negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),,softball clinic drills,Campaign negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,long island health and racquet,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,tcr camp,Negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),Basketball Camp,payton pritchard camp,Negative,Exact
CM - pMax - Portland (MxConv),,long island ny,Campaign negative,Exact
CM - pMax - Portland (MxConv),,what size soccer net for 12 year old,Campaign negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),Football Camps,qb camp for youth,Negative,Exact
CM - Competitors - OldW - (Mx.Clicks),,lu high camp,Campaign negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,ymcacamp,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,sport time camp,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,futures camp,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Lacrosse Camps,2way camp,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,camp registration,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,westchester kids,Negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),Volleyball Camps,volley ball camp,Negative,Exact
CM - Competitors - OldW - (Mx.Clicks),,lu high summer camp,Campaign negative,Exact
CM - Nonbranded - Other Geos (MxConv),Basketball Camp,hoopgroup camp,Negative,Exact
CM - Nonbranded - Other Geos (MxConv),Tennis Camps,sports for kids near me,Negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),Soccer Camps,camp for 14 year old girl,Negative,Exact
CM - Nonbranded - Geo Priorities (MxCx),Football Camps,qb camps,Negative,Exact
